class_index,review_text
3,is truth
2,wanton
2,steal a movie
2,guessing the director is a magician
3,assuredly
2,with his family
0,baaaaaaaaad movie
2,whacking
2,vicarious
2,and -RRB-
2,Dawson Leery did what ?!? -RRB-
0,is hindered by uneven dialogue and plot lapses
0,fails to keep 80 minutes from seeming like 800
1,it is n't nearly as terrible as it cold have been
2,again and
1,'d be hard pressed to think of a film more cloyingly sappy than Evelyn this year
4,undeniably moving
1,two-dimensional offerings
3,film that 's flawed and brilliant in equal measure .
2,sanctimoniousness
2,accuse him
2,this prickly indie comedy
0,a whole lot of nada
3,delicate treatment
2,poking
1,Drug abuse
2,sides
2,ricture
2,the movie or the discussion any less enjoyable
2,does n't need Gangs of New York .
3,what punk rock music used to be
2,Call to Jeanette
2,sexual jealousy
2,Denis '
4,even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half
2,would only be to flatter it
2,of Tom Green and the Farrelly Brothers
4,are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D .
4,Offers a guilt-free trip into feel-good territory .
2,you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably
0,horribly depressing and
2,win the band
2,torn away from the compelling historical tale
4,Very well-written and very well-acted .
2,read and follow the action
2,on spirituality
2,a movie time trip
4,fine acting
3,of laughs
2,it were an extended short
3,tear-jerking
1,these days are about nothing
2,so many titans of the industry are along for the ride
1,a bloated plot
2,stop trying to please his mom
3,positive impression
2,Tucker a star
1,paper thin
2,Solaris
3,an anticipated audience
2,product
2,the minimum requirement
2,decoder ring
2,word-of-mouth reviews
2,Halle Berry
2,satisfy the most emotionally malleable of filmgoers
2,brooding quality
2,New York fest
1,An enigmatic film that 's too clever for its own good
3,the sum of its parts in today 's Hollywood
2,resemblance
2,beer-soaked
2,look much like anywhere
2,forcefully enough
1,capable Clayburgh
2,overwhelms the other
2,the mentally
2,As plain
2,Treasure Planet
0,needlessly poor quality
3,Cage makes an unusual but pleasantly haunting debut behind the camera .
2,who discover what William James once called ` the gift of tears
2,Appropriately cynical
3,Gedeck
0,that 's not the least bit romantic and only mildly funny
1,an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure Hollywood
1,Underachieves
2,underventilated
3,in memory
2,lark
1,notice the glaring triteness of the plot device
2,might be over
1,A sleek advert for youthful anomie that never quite equals the sum of its pretensions .
2,Father Goose
2,A different movie
1,No amount of blood and disintegrating vampire cadavers can obscure this movie 's lack of ideas .
2,of the gambles of the publishing world
2,by the performances of real-life spouses Seldahl and Wollter
3,makes it a comic book with soul
2,sights and sounds
2,to recent national events
2,` Blade II '
2,to watch him sing the lyrics to `` Tonight
2,that are attached to the concept of loss
1,blaxploitation
2,is a real subject
2,sung in Italian
2,of the modern girl 's dilemma
2,the whole world
2,in 1915 with some difficult relationships in the present
3,the quirky
2,screen postcard
4,with considerable appeal
3,brightly optimistic
4,accomplished and richly resonant work
3,stamina and vitality
3,worth seeing
3,a good fight
4,holds the film together with a supremely kittenish performance that gradually accumulates more layers
2,shoving them
1,two fatal ailments --
4,pretty
2,reedy
2,put so much
2,crazy
1,ca n't make up its mind whether it wants to be a gangster flick or an art film
2,just one word for you -
2,Ignore the reputation
0,the barbarism of ` ethnic cleansing
1,grade-school audience
1,underdramatized but overstated
2,fairly uneventful and boasting no real surprises -- but still quite tasty and inviting all the same
2,to say it 's unburdened by pretensions to great artistic significance
2,next year
2,Dawson 's Creek
1,Hollywood excess
2,to up-and-coming documentarians
0,More of the same old garbage
3,Bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .
2,to a bank manager
2,in an increasingly important film industry
2,to old Tori Amos records
2,when they 're supposed to be having a collective heart attack
1,'s a movie that emphasizes style over character and substance
2,In his debut as a director
3,modernize it with encomia
2,-LRB- Rises -RRB-
2,for grown-ups as for rugrats
2,the couples
2,done before
3,engaging simplicity
1,non-firsthand experience
3,achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .
2,eventually
1,down on their working-class subjects
2,warfare
2,barriers
0,also comes with the laziness and arrogance of a thing that already knows it 's won .
3,cleansing
2,contemporary society
2,a foreign culture only
2,you wo n't
2,a coffee table
2,director Sara Sugarman
3,A sharp satire
2,left off
2,Bride
3,perfectly serviceable and because he gives the story some soul
2,by a strong sense of humanism
2,mergers and
3,The solid filmmaking and convincing characters
1,smacks of exhibitionism
2,refusal to push the easy emotional buttons
2,that also smacks of revelation
2,an image of black indomitability
2,formula --
2,for hours
2,to be smart
1,too violent and sordid to function as comedy
2,the hot Oscar season
2,depictions
2,past the second commercial break
1,terrorism
2,The darker elements
2,us '' versus `` them ''
2,towards
3,without oppressive
4,the most original American productions this year
4,great
3,the dubious feat of turning one man 's triumph of will into everyman 's romance comedy
2,a legendary professor and Kunis
3,fertile
1,even less capable
2,Undressed
2,fuzzy and sticky
2,too goodly
2,in unusual homes
1,smug
3,Nice piece
2,watch a rerun of The Powerpuff Girls
2,intro
2,Laramie Project
0,miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life
1,a whole heap
2,superheroics
2,soulful and unslick
1,idea -LRB- of middle-aged romance -RRB- is not handled well
1,too much obvious padding
2,the play more has partly closed it down .
3,feast
1,a rag-tag bunch of would-be characters
2,the figures
3,dramatized
2,prostitute
3,a vision both painterly and literary
2,by on its artistic merits
2,altogether darker
2,bonding
3,carries us effortlessly from darkness
2,have existed on paper
1,is -RRB- looking down at your watch and realizing Serving Sara is n't even halfway through .
2,its lead 's
2,the flicks moving in and out of the multiplex
3,engage
2,for a stiff wind
2,in-depth study
2,prove to be too great
2,poetry and
2,screenwriter 's
2,smaller
1,stranded
3,utilizing
2,be as intelligent as this one is in every regard except its storyline
2,Lan
2,Eisenstein 's life
0,The latest Adam Sandler assault and possibly the worst film of the year .
2,disapproval of Justine combined with a tinge of understanding for her actions
2,with a `` 2 ''
2,Roman Colosseum
2,in the acting craft
1,Disappointing in comparison to other recent war movies ... or any other John Woo flick for that matter .
2,shock treatment
4,The genius of the work
0,to take an entirely stale concept and push it through the audience 's meat grinder one more time
3,can feel the love .
2,legal system towards child abuse
3,remains brightly optimistic
3,Steven Shainberg 's adaptation
2,Hungry-Man
2,we imagine
0,quickly forgettable
2,self-assured
3,immense IMAX screen
4,will laugh their \*\*\* off for an hour-and-a-half
2,need to find each other
2,inexplicable events
2,Nights
2,phone commercial
1,warn
2,last week 's
2,the telling of a story largely untold
2,motivations
2,a swathe
2,of a frozen burrito
2,McFarlane 's
2,threw medical equipment at a window ;
1,misfires
4,is extraordinarily good .
2,the two daughters
2,that post 9-11 period
2,builds
2,Few Good Men
1,teen-oriented variation on a theme that the playwright Craig Lucas explored with infinitely more grace and eloquence in his Prelude to a Kiss .
2,around
1,who sometimes feel more like literary conceits than flesh-and-blood humans
2,The Pianist lacks the quick emotional connections of Steven Spielberg 's Schindler 's List .
2,of creating a screen adaptation of Evans ' saga of Hollywood excess
3,on a striking new significance for anyone who sees the film
4,greatest play
2,film I
2,'s too committed .
3,ultimately satisfies with its moving story
3,win many fans
2,ventures
1,the plot holes
2,paid to the animation
2,gives her best performance
1,More intellectually scary than dramatically involving .
2,the one
2,shifty
2,tons and
2,of panoramic sweep
1,knockoff .
2,to ride a Russian rocket
2,National Lampoon 's Van Wilder is Son of Animal House .
3,A sobering and powerful documentary about the most severe kind of personal loss : rejection by one 's mother
2,sure what this movie thinks it is about
2,intent on hammering home his message
2,the final two
0,they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .
1,gets royally screwed
2,as much about the ownership and redefinition of myth
1,bohemian boorishness
2,the seas
2,idealism American moviemaking ever
2,about The Quiet American
2,all the excesses
1,poorly structured
1,more and more abhorrent
2,blunt indictment
4,priceless
2,Nijinsky 's words grow increasingly disturbed
2,at the movie 's edges
3,more emotional
1,do n't quite fit together
3,ca n't deny its seriousness and quality .
2,have to be laid squarely on Taylor 's doorstep
2,Mummy
2,its treatment of the dehumanizing and ego-destroying process of unemployment
1,do not fit
2,One fantastic
2,first starring role
2,a resonant undertone of tragedy
1,dubious human being
3,is an impressive achievement in spite of a river of sadness that pours into every frame
3,'s a spectacular performance - ahem
4,'s a heck of a ride
3,political courage
2,of Don Simpson
2,non-threatening multi-character piece
4,immensely appealing couple
0,certainly got lost in the `` soon-to-be-forgettable '' section of the quirky rip-off prison romp pile .
2,any given daytime soap
2,This version of H.G. Wells ' Time Machine
3,K-19 : The Widowmaker is a great yarn .
3,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .
2,mount
2,Morvern
3,energizes it
3,adorably ditsy but heartfelt
2,Less about Shakespeare than the spawn
2,at the ins and outs of modern moviemaking
3,while retaining an integrity and refusing to compromise his vision
1,Director Charles Stone III applies more detail to the film 's music than to the story line
2,Lane and Gere
2,cure
2,wrapped
3,Definitely worth 95 minutes of your time
2,every blighter in this particular South London housing project
1,about as unsettling to watch as an exploratory medical procedure or an autopsy
2,recall
2,filmmaking can take us
4,are pitted against shimmering cinematography that lends the setting the ethereal beauty of an Asian landscape painting
3,miss you .
1,incoherent
2,Feeling like a dope
3,that have reinvigorated the romance genre
2,Guardian hack Nick Davies
2,new comedy
2,resist his enthusiasm
1,really poor
3,add
2,shared by the nation at their sacrifice
2,wrote Gibson 's Braveheart as well as the recent Pearl Harbor
2,flip-flop
2,against
2,at a particularly dark moment in history
2,by Martin Scorsese
4,is pretty damned funny .
2,resembling a spine
3,of its execution and skill of its cast
2,music and images
3,memorable performances
2,method
2,credits sequence
2,'ll enjoy at least the `` real '' portions of the film .
1,was n't enough
2,of vitality
2,explains way more about Cal
2,TV outing
2,become smug or sanctimonious towards the audience
0,no disguising this as one of the worst films of the summer
2,the film 's stately nature
1,shifting in your chair too often
2,held ideas
3,of an impression
3,joyous
2,much with its template
2,manual animation
2,of these guys
2,a fad
2,a completely predictable plot
2,At a time when we 've learned the hard way just how complex international terrorism is
3,A.C. will help this movie one bit
3,enlightened by any of Derrida 's
2,Soderbergh 's concentration
3,A film of quiet power
2,did go back and check out the last 10 minutes
2,very -RRB-
0,wretched movie
2,sneaks
3,to be pleasant in spite of its predictability
1,right at home as a nifty plot line in Steven Soderbergh 's Traffic fails to arrive at any satisfying destination
1,will wind up as glum as Mr. De Niro
3,was reading the minds of the audience
2,pool substitutes for a bathtub
2,Goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .
1,become almost as operatic to us
2,only to be reminded of who did what to whom and why
3,offers instead an unflinching and objective look at a decidedly perverse pathology
2,narrative hook
2,of the IMAX cinema
2,risks
2,that set the plot in motion
2,reigns .
4,is worth the price of admission .
1,teetering on the edge of sanity
2,Rubin
2,monster movies
1,bogged down over 140 minutes
3,all the more compelling
3,lot funnier
3,Yet this one makes up for in heart what it lacks in outright newness .
3,Elmo
2,This is n't a terrible film by any means
2,right-hand
4,magnificent directorial career
2,has an odd purity that does n't bring you into the characters so much as it has you study them
3,amusing sidekicks
1,addict
2,bombastic
2,of Gangster No. 1 drips
2,in drag
2,adds a period
2,form for director Peter Bogdanovich
1,more disciplined grade-grubbers
2,great-grandson
4,Kissing Jessica Stein is one of the greatest date movies in years .
2,watched
2,his dead mother via communication
2,slyly
2,imagery and fragmentary tale
2,of whatever idealism American moviemaking ever had
3,subtly rendered
2,issues
2,happen to bad people
2,George Roy Hill 's
1,to cheesier to cheesiest
1,does n't improve upon the experience of staring at a blank screen
3,epic scale
3,good vampire tale
1,dragged down
2,the film 's austerity
2,deserve but
1,Not quite as miraculous as its DreamWorks makers would have you believe
3,portrays young Brendan with his usual intelligence and subtlety
1,tics
3,visual virtuosity
2,a few decades
1,look too deep into the story
4,also rocks .
2,gods
2,the center of that world
2,scattered fashion
3,delightful surprise
2,kid-vid
2,give a movie a B-12 shot
2,probably call the police
2,So here it is :
1,the wheezing terrorist subplot has n't the stamina for the 100-minute running time
3,generally sustains a higher plateau with Bullock 's memorable first interrogation of Gosling
2,of their control
2,in love with his stepmom
1,is n't quite enough to drag along the dead -LRB- water -RRB- weight of the other
4,'d have to be a most hard-hearted person not to be moved by this drama .
2,were in high school
1,as big-screen remakes of The Avengers and The Wild Wild West
2,door
3,the choices
4,Best of all
1,used the film as a bonus feature on the DVD
2,to incorporate both the horror
2,the otherwise calculated artifice
2,Easily one
1,flaccid odd-couple sniping
2,not far
2,perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen
2,founders on its lack of empathy for the social milieu - rich New York intelligentsia - and its off
2,maggots
0,insufferable
4,is one of the best actors there is .
2,that first encounter
2,exotic locales
0,runs for only 71 minutes and feels like three hours
2,making it a passable family film that wo n't win many fans over the age of 12
2,become a good man
2,it to rank with its worthy predecessors
2,remembered as Roman Coppola 's brief pretentious period
2,generic international version
2,self-serious
0,bad cinema
1,less conspicuous writing strength
2,his images
2,of composition
1,expect much more from a talent as outstanding as director Bruce McCulloch
1,The script becomes lifeless and falls apart like a cheap lawn chair .
2,swimming
2,a $ 99 bargain-basement special
2,attraction and
3,a better script
2,recalling
3,earn their uplift
2,all he 's done
1,a bland murder-on-campus yawner .
3,All That Heaven Allows ''
3,enough to let you bask in your own cleverness as you figure it out
1,The film is so packed with subplots involving the various Silbersteins that it feels more like the pilot episode of a TV series than a feature film .
2,its own self-referential hot air
2,his character 's
2,Hollywood-itis
2,that simply feel wrong
2,of competing lawyers
0,its tragic waste of life
2,very basic dictums
1,assuming the bar of expectations has n't been raised above sixth-grade height
2,Solondz may be convinced that he has something significant to say
3,establishes itself as a durable part of the movie landscape : a James Bond series for kids .
0,Constantly slips from the grasp of its maker .
2,intact in BV 's re-voiced version
2,a fan of vegetables
4,a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical
3,that can calm us of our daily ills and bring out joys in our lives that we never knew
2,Kissinger may have decided that -- when it comes to truncheoning -- it 's better to give than to receive
1,remember the last time I saw a movie where I wanted so badly for the protagonist to fail
2,The Quiet American brings us right into the center of that world
2,re-creations
2,a long
2,biting off such a big job
2,two families
2,is too optimistic a title
4,Holm is terrific as both men
3,the story and theme
2,any honors
3,better and
2,of our emotional investment
2,by the voice of the star of Road Trip
2,Smith 's
2,new converts
2,under way
2,bad direction and bad acting -- the trifecta of badness
1,earlier copycat Under Siege
2,at ya
2,a car chase
3,Dover Kosashvili 's outstanding feature debut so potent
2,left well enough alone
2,the kids in the house
2,'
2,At its most basic
2,fluids gag
1,paced at a speed that is slow to those of us in middle age and
2,director Fisher Stevens
0,the pile of useless actioners
1,straight to video
2,acquainted
3,Macy
2,mined his personal horrors
2,arrives
2,Horrid little propaganda film with fascinating connections not only to the Serbs themselves but also to a network of American right-wing extremists
2,indulge
3,a feature debut
1,dip in Jerry Bruckheimer 's putrid pond of retread action twaddle
3,it would be sleazy and fun
3,that one viewing ca n't possibly be enough
1,a grimace
2,every old World War II movie for overly familiar material
3,better film
3,A compelling French psychological drama
1,somewhat backhanded
3,has a sure hand .
4,a beauty to behold
3,manically generous
2,Tout
2,director John Schultz colors the picture in some evocative shades .
3,a noble teacher who embraces a strict moral code
2,Mulan '' or ``
2,Body
3,above-average brains
2,no suspense or believable tension
2,startled
2,Rudy
4,is a more fascinating look at the future than `` Bladerunner '' and one of the most high-concept sci fi adventures attempted for the screen .
1,played by an actress who smiles and frowns
2,-- and sometimes plain wacky implausibility --
3,its explosive subject matter
4,delivered a solidly entertaining and moving family drama
2,recite
3,like this movie
3,the be-all-end-all of the modern-office anomie films
2,Joseph
2,Auteil 's
2,can make
2,pratfalls but
3,more curious
4,may cause parents a few sleepless hours -- a sign of its effectiveness
2,old schoolers
3,rocks .
2,to squander on offal like this
2,environmental changes
1,but it 's difficult to shrug off the annoyance of that chatty fish
1,wanted to leave
2,with a straight face
2,navigates
2,astringent
2,looking for that exact niche
2,of Fortune
2,virtually everything
1,to the dull effects that allow the suit to come to life
2,searching out
2,with authority
3,keep the movie slaloming through its hackneyed elements with enjoyable ease
3,salient points
2,at moments
1,thoroughly formulaic film
2,you go
3,that expands into a meditation on the deep deceptions of innocence
0,saddest action hero performances
2,a child 's pain for his dead mother via communication
3,of emotional resonance
2,the screenplay demands it
2,Coppola
2,ninth decade
1,convoluted plot
3,a delightful lark
3,maintain a sense of urgency and suspense
3,you 'll cheer .
2,If you 're paying attention
3,Where Bowling for Columbine is at its most valuable
3,cinematic intoxication
1,it would fit Chan like a $ 99 bargain-basement special .
3,pulling the plug on the conspirators and averting an American-Russian Armageddon
2,its last frames
0,the low-grade cheese standards on which it operates
2,Jiang
3,a bonus
4,bucked the odds to emerge as an exquisite motion picture in its own right
2,Fulfills the minimum requirement of Disney animation .
1,stuffs his debut
0,#NOM?
2,to hold our interest
1,the world 's political situation
2,matter how Broomfield dresses it up
2,structure
2,universe
3,the gift of tears
2,the spark
2,gets under your skin
1,is n't quite one of the worst movies of the year
2,of imagery
2,next week
2,completely disposable
3,to call the film ` refreshing
0,Christian Right propaganda machine
2,cartoons
2,about the characters ' lives
0,K-19 sinks to a Harrison Ford low .
4,do in this marvelous film
2,Antonio
4,the film 's considerable charm
4,A poignant and gently humorous parable that loves its characters and communicates something rather beautiful about human nature .
3,Rubbo 's humorously tendentious intervention into the who-wrote-Shakespeare controversy .
2,a whole lot more
3,that would make it the darling of many a kids-and-family-oriented cable channel
2,not averting his eyes
2,Gibson 's Braveheart as well as the recent Pearl Harbor
2,Hotel today
2,a Puritanical brand
3,each one of these people stand out and
3,creep the living hell out of you
3,fashioned an absorbing look
2,omitted
3,very real and amusing give-and-take
1,more propaganda
0,unimpressively fussy
2,as you remember
2,If you 're in the right B-movie frame of mind
2,had periods
2,internal combustion engine
2,is darkly
2,become comic relief in any other film
1,leaden as the movie sputters to its inevitable tragic conclusion
2,sincere and
2,economical antidote
3,unforced naturalism
2,the escort service
3,stimulating and
2,running around
2,strongman
3,a crescendo
3,while cleverly worked out
2,however
3,brought unexpected gravity to Blade II
1,with a confusing sudden finale that 's likely to irk viewers
3,are not to be dismissed
2,strategically placed white sheets
2,patent
0,you 're desperate for the evening to end .
1,of psychopathic pulp
3,has a whip-smart sense of narrative bluffs .
4,seem genuine rather than pandering
3,surprising romance
2,a conclusion or pay off
3,stays close to the ground
3,It 's sweet
1,too many spots where it 's on slippery footing
0,that it 's inauthentic at its core and that its story just is n't worth telling
3,prove more potent and riveting
3,be growing
2,is simply a matter of -LRB- being -RRB- in a shrugging mood
2,gentle war
2,what they 'd look like
3,this world more complex
1,is remarkably dull with only Caine making much of an impression .
2,contours
1,all the wrong places
1,'s a mystery how the movie could be released in this condition .
3,tight and truthful
3,Proves a servicable World War II drama that ca n't totally hide its contrivances
3,like a promising work-in-progress
0,gross
2,God bless Crudup
2,own self-consciousness
2,a tragic figure
2,better and more successful
2,Herrmann quietly suggesting the sadness and obsession beneath Hearst 's forced avuncular chortles
2,in the maze of modern life
2,gangster flick
2,scope
3,a fascinating study
3,do that is really funny
3,sympathy and intelligence
2,like a change in -LRB- Herzog 's -RRB- personal policy than a half-hearted fluke
3,pretty enjoyable
3,has enough vitality to justify the notion of creating a screen adaptation of Evans ' saga of Hollywood excess
2,'s kind
3,the point of real interest -
3,feel too happy to argue much
0,brought me uncomfortably close to losing my lunch
3,the bones of Queen of the Damned
1,is off his game
2,her defiance of the saccharine
4,worthwhile glimpse
1,are jarring and deeply out of place in what could have
1,was any doubt that Peter O'Fallon did n't have an original bone in his body
2,its most famous previous film adaptation
2,have spent more time in its world
4,an intelligent movie
2,In comparison to his earlier films
2,which is what they did
3,A hypnotic portrait
4,the best espionage picture to come out in weeks
3,with really solid performances by Ving Rhames and Wesley Snipes .
2,cello
2,work from
2,Exactly what you 'd expect from a guy named Kaos .
2,Dawson 's
3,can truly be
3,adding the rich details and
2,staircase gothic
2,other Deep South stories
4,one of the best-sustained ideas I have ever seen on the screen
2,to question what is told as the truth
3,is there to give them a good time .
1,`` serious issues ''
2,into a story about two adolescent boys
2,a younger crowd
3,wears its heart on the sleeve of its gaudy Hawaiian shirt
2,belly flops
2,a term
3,of love and humility
3,An unexpectedly sweet story of
0,The logic of it all will be Greek to anyone not predisposed to the movie 's rude and crude humor .
3,obvious -LRB- Je-Gyu is -RRB- trying for poetry
2,spin-off
1,sincere grief and mourning in favor of bogus spiritualism
2,once promising
4,a visually masterful work
2,Acting can not be acted .
